time,temp_avg_gap,hum_avg_gap,temp_max_min,temp_min_max,hum_max_min,hum_min_max,status,work
10,0.04,1.3,0.1,0.0,2.2,0.3,33,1
10,0.06,0.86,0.1,0.0,2.1,0.0,33,1
11,0.1,1.5,0.1,0.1,2.3,0.3,33,1
13,0.06,1.32,0.2,0.0,2.3,0.1,32,1
16,0.1,-1.5,0.2,0.0,0.2,-3.2,32,1
18,0.18,-2.72,0.3,0.1,-0.2,-4.9,32,1
11,0.04,-1.24,0.2,0.0,-0.2,-2.2,33,1
10,0.08,-0.8,0.1,0.0,-0.2,-1.4,33,1
16,0.12,1.2,0.2,0.1,1.9,0.1,33,1
13,0.08,2.26,0.1,0.0,3.5,0.8,33,1
11,-0.12,-2.2,0.0,-0.3,-0.4,-5.0,13,1
10,-0.2,-0.74,0.0,-0.4,-0.1,-1.3,13,1
10,-0.16,-0.14,0.0,-0.3,0.0,-0.5,13,1
11,-0.22,0.1,-0.1,-0.4,0.3,0.0,13,1
13,-0.22,0.36,0.0,-0.4,0.5,0.1,13,1
13,-0.22,0.5,-0.1,-0.4,0.8,0.2,13,1
10,-0.14,0.36,0.0,-0.2,0.7,0.0,13,1
17,-0.16,1.32,0.0,-0.4,2.1,0.0,23,1
11,-0.1,0.84,0.0,-0.2,2.2,0.0,23,1
13,0.06,1.64,0.1,0.0,3.1,0.4,33,1
13,0.04,1.46,0.1,0.0,2.6,0.0,33,1
11,0.06,2.18,0.1,0.0,3.7,0.2,32,1
11,0.04,0.52,0.1,0.0,1.9,-0.5,32,1
10,0.06,-1.32,0.1,0.0,-0.3,-2.3,32,1
10,0.1,-1.66,0.1,0.1,-0.2,-3.0,32,1
13,0.04,-1.58,0.1,0.0,-0.3,-3.0,32,1
15,0.12,-1.62,0.2,0.0,-0.3,-3.0,32,1
10,0.08,-1.04,0.2,0.0,-0.2,-1.8,33,1
11,0.1,-0.48,0.2,0.0,-0.1,-1.0,33,1
12,0.08,1.1,0.2,0.0,2.1,0.0,33,1
11,0.06,1.74,0.1,0.0,3.2,0.3,33,1
10,0.06,1.6,0.1,0.0,2.7,0.1,33,1
10,0.04,1.02,0.1,0.0,2.2,0.3,33,1
10,0.0,0.84,0.0,0.0,2.0,-0.4,32,1
13,0.1,-1.56,0.1,0.1,-0.1,-2.8,32,1
10,0.12,-2.08,0.2,0.1,-0.4,-3.7,32,1
10,0.12,-1.98,0.3,0.0,-0.5,-3.5,33,1
10,0.1,-0.94,0.2,0.0,-0.2,-1.7,33,1
10,0.08,0.88,0.1,0.0,1.6,0.0,33,1
12,-0.14,-2.54,0.0,-0.3,-0.4,-5.2,13,1
11,-0.2,-1.12,0.0,-0.4,-0.2,-2.1,13,1
13,-0.24,-0.42,-0.1,-0.4,-0.2,-0.7,13,1
10,-0.18,0.04,-0.1,-0.3,0.2,-0.1,13,1
15,-0.24,0.18,-0.1,-0.4,0.5,0.0,13,1
13,-0.24,0.42,0.0,-0.4,0.6,0.1,13,1
11,-0.14,0.54,0.0,-0.3,0.8,0.1,23,1
13,-0.1,0.58,0.0,-0.2,1.4,0.0,23,1
10,-0.06,1.92,0.0,-0.1,3.1,0.4,23,1
13,-0.1,2.46,-0.1,-0.1,4.3,0.8,23,1
15,0.06,-1.48,0.1,0.0,-0.7,-2.9,21,1
13,0.02,-1.96,0.1,0.0,-0.5,-3.0,21,1
16,0.08,-1.54,0.1,0.0,-0.2,-2.9,21,1
15,0.1,-1.74,0.1,0.1,-0.5,-3.0,21,1
13,0.1,-1.32,0.1,0.1,-0.4,-2.1,21,1
10,0.08,-0.22,0.1,0.0,0.1,-0.5,33,1
11,0.06,1.78,0.1,0.0,2.7,0.5,33,1
13,0.04,2.36,0.1,0.0,4.5,0.3,33,1
10,0.08,2.64,0.1,0.0,4.8,0.6,33,1
11,0.08,0.84,0.1,0.0,2.6,-0.4,32,1
10,0.06,-2.34,0.2,0.0,-0.5,-4.1,31,1
10,0.12,-1.74,0.2,0.0,-0.4,-3.1,31,1
11,0.04,-1.48,0.1,0.0,-0.3,-2.6,31,1
20,0.14,-1.88,0.2,0.0,-0.3,-3.1,32,1
11,0.12,-1.04,0.2,0.0,-0.1,-2.1,32,1
13,0.1,-0.4,0.2,0.0,0.0,-0.9,32,1
13,-0.08,-0.32,0.0,-0.1,-0.1,-0.5,12,1
10,-0.1,-0.02,0.0,-0.2,0.2,-0.2,12,1
11,-0.12,0.34,-0.1,-0.2,0.6,-0.1,12,1
10,-0.12,0.48,-0.1,-0.2,1.0,0.0,12,1
10,-0.14,0.6,0.0,-0.2,1.1,0.1,12,1
13,-0.08,0.56,0.0,-0.2,1.1,0.1,12,1
13,-0.16,0.9,-0.1,-0.2,1.4,0.4,12,1
18,-0.14,0.94,0.0,-0.2,1.6,0.1,12,1
10,-0.1,0.72,0.0,-0.3,1.5,0.0,12,1
11,-0.08,0.58,0.0,-0.2,1.0,0.1,12,1
10,-0.08,0.58,0.0,-0.1,1.1,0.2,12,1
10,-0.1,0.56,-0.1,-0.1,1.1,0.0,12,1
11,0.12,-0.24,0.2,0.0,-0.1,-0.3,31,1
13,0.12,-0.28,0.2,0.0,-0.1,-0.5,31,1
15,0.08,-0.3,0.2,0.0,0.0,-0.6,31,1
17,0.14,-0.5,0.2,0.0,-0.1,-1.0,31,1
13,0.18,-0.64,0.3,0.1,-0.2,-1.0,31,1
14,0.12,-0.48,0.2,0.0,-0.1,-0.9,31,1
13,0.14,-0.54,0.3,0.1,0.0,-1.0,31,1
10,0.14,-0.44,0.2,0.0,-0.1,-0.8,31,1
11,0.12,-0.32,0.2,0.0,-0.1,-0.6,31,1
11,0.12,-0.36,0.2,0.1,0.0,-0.7,31,1
15,0.16,-0.46,0.2,0.1,0.0,-0.9,31,1
11,0.16,-0.42,0.3,0.1,0.0,-0.8,31,1
14,0.18,-0.56,0.3,0.1,-0.2,-0.9,32,1
10,0.14,-0.32,0.2,0.0,-0.1,-0.6,32,1
0,0.0,0.0,0.1,-0.1,0.3,-0.3,32,1
25,0.3,-0.78,0.4,0.2,-0.5,-1.1,32,1
10,0.1,-0.4,0.2,0.0,-0.1,-0.7,32,1
11,0.1,-0.36,0.2,0.0,-0.1,-0.6,32,1
13,0.16,-0.4,0.3,0.0,-0.1,-0.6,32,1
16,0.16,-0.44,0.4,0.0,-0.2,-0.8,32,1
11,0.1,-0.42,0.2,0.0,-0.1,-0.7,32,1
10,0.12,-0.3,0.2,0.1,0.0,-0.6,32,1
11,0.12,-0.34,0.2,0.0,0.0,-0.6,32,1
14,0.0,-0.2,0.0,0.0,0.1,-0.4,23,1
10,0.0,1.06,0.0,0.0,1.5,0.3,23,1
13,0.0,1.66,0.0,0.0,3.3,0.1,23,1
12,0.0,1.96,0.0,0.0,3.5,0.3,23,1
11,0.0,1.38,0.0,0.0,2.4,0.4,23,1
11,-0.04,0.54,0.0,-0.1,1.2,0.0,23,1
12,-0.06,0.46,0.0,-0.1,0.8,0.1,23,1
10,0.0,0.58,0.0,0.0,1.2,0.0,23,1
13,-0.06,0.8,0.0,-0.1,2.0,0.0,23,1
10,-0.06,-5.04,0.0,-0.1,-1.1,-7.2,12,1
11,-0.12,-2.44,0.0,-0.2,-0.5,-4.7,12,1
13,-0.16,-1.16,-0.1,-0.3,-0.3,-2.3,12,1
13,-0.14,-0.36,0.0,-0.3,0.0,-0.7,12,1
